1 Extend Pool
Train 10 err=49.9999
Validation 10 err=50
21 Extend Pool

Train 1 err=49.9994
Validation 1 err=50
Train 2 err=49.9997
Validation 2 err=50
Train 3 err=49.9998
Validation 3 err=50
Train 4 err=49.9998
Validation 4 err=50
Train 5 err=49.9999
Validation 5 err=50
Train 6 err=49.9999
Validation 6 err=50
Train 7 err=49.9999
Validation 7 err=50
Train 8 err=49.9999
Validation 8 err=50
Train 9 err=49.9999
Validation 9 err=50
Train 10 err=49.9999
Validation 10 err=50
22 Extend Pool

Train 1 err=49.9993
Validation 1 err=50
Train 2 err=49.9997
Validation 2 err=50
Train 3 err=49.9998
Validation 3 err=50
Train 4 err=49.9998
Validation 4 err=50
Train 5 err=49.9999
Validation 5 err=50
Train 6 err=49.9999
Validation 6 err=50
Train 7 err=49.9999
Validation 7 err=50
Train 8 err=49.9999
Validation 8 err=50
Train 9 err=49.9999
Validation 9 err=50
Train 10 err=49.9999
Validation 10 err=50
23 Extend Pool

